Series,Current,Min,Max,Average,
/novatel_bottom/bestpos/nov_header/sequence_number,0,0,0,0,
/novatel_bottom/bestpos/nov_header/time_status,180,180,180,180,
/novatel_bottom/bestpos/num_sol_l1_svs,10,7,15,12.571117,
/novatel_bottom/bestpos/num_sol_multi_svs,9,0,13,10.652856,
/novatel_bottom/bestpos/num_sol_svs,10,7,15,12.571117,
/novatel_bottom/bestpos/num_svs,13,9,16,13.060394,
/novatel_bottom/bestpos/pos_type/type,53,50,56,54.641452,
/novatel_bottom/bestpos/reserved,0,0,0,0,
/novatel_bottom/bestpos/sol_age,0,0,0,0,
/novatel_bottom/bestpos/sol_status/status,0,0,0,0,
/novatel_bottom/bestpos/stn_id.0,0,0,49,44.891367,
/novatel_bottom/bestpos/stn_id.1,0,0,50,45.807517,
/novatel_bottom/bestpos/stn_id.2,0,0,56,51.304419,
/novatel_bottom/bestpos/stn_id.3,0,0,49,44.891367,
/novatel_bottom/bestpos/undulation,-34.400002,-34.400002,-34.400002,-34.400002,
/novatel_bottom/bestvel/diff_age,0,0,7,0.903925,
/novatel_bottom/bestvel/header/stamp,1632241930.82318,1632241930.82318,1632243399.40309,1632242665.11524,
/novatel_bottom/bestvel/hor_speed,0.001385,3.8E-05,16.976631,5.507889,
/novatel_bottom/bestvel/latency,0,0,0.025,0.004596,
/novatel_bottom/bestvel/nov_header/gps_week_milliseconds,232348950,232348950,233817550,233083250,
/novatel_bottom/bestvel/nov_header/gps_week_number,2176,2176,2176,2176,
/novatel_bottom/bestvel/nov_header/idle_time,0,0,0,0,
/novatel_bottom/bestvel/nov_header/message_id,99,99,99,99,
/novatel_bottom/bestvel/nov_header/message_type,0,0,0,0,
/novatel_bottom/bestvel/nov_header/sequence_number,0,0,0,0,
/novatel_bottom/bestvel/nov_header/time_status,180,180,180,180,
/novatel_bottom/bestvel/reserved,0,0,0,0,
/novatel_bottom/bestvel/sol_status/status,0,0,0,0,
/novatel_bottom/bestvel/trk_gnd,204.397912,0.000141,359.998988,196.146288,
/novatel_bottom/bestvel/vel_type/type,53,50,56,54.641508,
/novatel_bottom/bestvel/ver_speed,-0.001045,-1.10935,1.427512,4.2E-05,
/novatel_bottom/imu/data/angular_velocity/x,0.000444,-0.296757,0.257555,-0.000128,
/novatel_bottom/imu/data/angular_velocity/y,0.000285,-0.195196,0.187832,-0.000863,
/novatel_bottom/imu/data/angular_velocity/z,0.000148,-0.262303,0.221956,0.008481,
/novatel_bottom/imu/data/angular_velocity_covariance[0,0],-1,-1,-1,-1
/novatel_bottom/imu/data/angular_velocity_covariance[0,1],0,0,0,0
/novatel_bottom/imu/data/angular_velocity_covariance[0,2],0,0,0,0
/novatel_bottom/imu/data/angular_velocity_covariance[1,1],0,0,0,0
/novatel_bottom/imu/data/angular_velocity_covariance[1,2],0,0,0,0
/novatel_bottom/imu/data/angular_velocity_covariance[2,2],0,0,0,0
/novatel_bottom/imu/data/header/stamp,1632241930.7401,1632241930.7401,1632243399.41879,1632242665.0811,
/novatel_bottom/imu/data/linear_acceleration/x,0.00389,-8.312319,8.21641,0.002877,
/novatel_bottom/imu/data/linear_acceleration/y,-0.001336,-5.960815,5.891481,0.090345,
/novatel_bottom/imu/data/linear_acceleration/z,0.007509,-8.646699,8.230287,0.008788,
/novatel_bottom/imu/data/linear_acceleration_covariance[0,0],-1,-1,-1,-1
/novatel_bottom/imu/data/linear_acceleration_covariance[0,1],0,0,0,0
/novatel_bottom/imu/data/linear_acceleration_covariance[0,2],0,0,0,0
/novatel_bottom/imu/data/linear_acceleration_covariance[1,1],0,0,0,0
/novatel_bottom/imu/data/linear_acceleration_covariance[1,2],0,0,0,0
/novatel_bottom/imu/data/linear_acceleration_covariance[2,2],0,0,0,0
/novatel_bottom/imu/data/orientation/pitch_deg,1.337264,-1.567465,8.081873,1.10081,
/novatel_bottom/imu/data/orientation/roll_deg,2.245298,-9.692625,2.493503,-0.698673,
/novatel_bottom/imu/data/orientation/w,0.721951,-0.70708,0.999985,0.503266,
/novatel_bottom/imu/data/orientation/x,0.02222,-0.068854,0.070369,0.006628,
/novatel_bottom/imu/data/orientation/y,-0.005122,-0.02988,0.081463,0.005159,
/novatel_bottom/imu/data/orientation/yaw_deg,-87.511124,-179.996879,179.999204,-31.621986,
/novatel_bottom/imu/data/orientation/z,-0.691568,-0.999955,0.707102,-0.530584,
/novatel_bottom/imu/data/orientation_covariance[0,0],0.017496,0.000244,0.017496,0.003513
/novatel_bottom/imu/data/orientation_covariance[0,1],0,0,0,0
/novatel_bottom/imu/data/orientation_covariance[0,2],0,0,0,0
/novatel_bottom/imu/data/orientation_covariance[1,1],0.017522,0.000265,0.017522,0.003551
/novatel_bottom/imu/data/orientation_covariance[1,2],0,0,0,0
/novatel_bottom/imu/data/orientation_covariance[2,2],9E-05,7.7E-05,0.04057,0.011193
/novatel_bottom/inspva/azimuth,177.510956,0.000116,359.99999,185.246141,
/novatel_bottom/inspva/east_velocity,-0.000406,-45.451727,16.515075,-0.37764,
/novatel_bottom/inspva/header/stamp,1632241930.77069,1632241930.77069,1632243399.41847,1632242665.09549,
/novatel_bottom/inspva/height,188.761141,152.929379,198.332504,187.66193,
/novatel_bottom/inspva/latitude,39.791422,39.788118,39.80229,39.793356,
/novatel_bottom/inspva/longitude,-86.238618,-86.243113,-86.230311,-86.236125,
/novatel_bottom/inspva/north_velocity,-0.001148,-16.220569,15.853278,0.366828,
/novatel_bottom/inspva/nov_header/gps_week_milliseconds,232348900,232348900,233817570,233083235,
/novatel_bottom/inspva/nov_header/gps_week_number,2176,2176,2176,2176,
/novatel_bottom/inspva/nov_header/idle_time,0,0,0,0,
/novatel_bottom/inspva/nov_header/message_id,508,508,508,508,
/novatel_bottom/inspva/nov_header/message_type,0,0,0,0,
/novatel_bottom/inspva/nov_header/sequence_number,0,0,0,0,
/novatel_bottom/inspva/nov_header/time_status,20,20,20,20,
/novatel_bottom/inspva/pitch,-1.336895,-8.081873,1.567465,-1.100805,
/novatel_bottom/inspva/roll,2.2448,-9.692625,2.493503,-0.698733,
/novatel_bottom/inspva/status/status,3,2,6,3.019078,
/novatel_bottom/inspva/up_velocity,-0.000979,-2.699406,0.446195,-0.039025,
/novatel_bottom/insstdev/azimuth_stdev,0.009467,0.008785,0.201419,0.08576,
/novatel_bottom/insstdev/east_velocity_stdev,0.001738,0.001692,0.203143,0.024341,
/novatel_bottom/insstdev/ext_sol_status/status,251658324,251658304,251662786,251659772.031833,
/novatel_bottom/insstdev/header/stamp,1632241930.90043,1632241930.90043,1632243399.40102,1632242665.13862,
/novatel_bottom/insstdev/height_stdev,4.764843,0.013542,6.174736,0.688935,
/novatel_bottom/insstdev/latitude_stdev,3.449779,0.01168,4.504937,0.613103,
/novatel_bottom/insstdev/longitude_stdev,3.295511,0.011491,4.242048,0.591325,
/novatel_bottom/insstdev/north_velocity_stdev,0.001738,0.001692,0.216378,0.024533,
/novatel_bottom/insstdev/nov_header/gps_week_milliseconds,232349000,232349000,233817550,233083275,
/novatel_bottom/insstdev/nov_header/gps_week_number,2176,2176,2176,2176,
/novatel_bottom/insstdev/nov_header/idle_time,0,0,0,0,
/novatel_bottom/insstdev/nov_header/message_id,2051,2051,2051,2051,
/novatel_bottom/insstdev/nov_header/message_type,0,0,0,0,
/novatel_bottom/insstdev/nov_header/sequence_number,0,0,0,0,
/novatel_bottom/insstdev/nov_header/time_status,180,180,180,180,
/novatel_bottom/insstdev/pitch_stdev,0.132271,0.015613,0.132271,0.046871,
/novatel_bottom/insstdev/reserved1,0,0,0,0,
/novatel_bottom/insstdev/reserved2,8376767,8376767,8376767,8376767,
/novatel_bottom/insstdev/reserved3,0,0,0,0,
/novatel_bottom/insstdev/roll_stdev,0.13237,0.016269,0.13237,0.047244,
/novatel_bottom/insstdev/time_since_last_update,0,0,43,1.14667,
/novatel_bottom/insstdev/up_velocity_stdev,0.00163,0.001556,0.095121,0.01464,
/raptor_dbw_interface/wheel_speed_report/front_left,0,0,62.400002,20.067977,
/raptor_dbw_interface/wheel_speed_report/front_right,0,0,63.599998,20.18192,
/raptor_dbw_interface/wheel_speed_report/header/stamp,1632241930.6955,1632241930.6955,1632243399.4241,1632242665.06039,
/raptor_dbw_interface/wheel_speed_report/rear_left,0,0,67.199997,19.860434,
/raptor_dbw_interface/wheel_speed_report/rear_right,0,0,66.900002,19.859423,
